source,z1,z2,Tc_K,Pc_MPa
Chang & Lu (1967),0.669,0.331,171.4,4.967
Cines et al. (1953),0.09,0.91,133.1,3.744
Cines et al. (1953),0.25,0.75,144.3,4.344
Cines et al. (1953),0.41,0.59,155.4,4.757
Cines et al. (1953),0.67,0.33,172,4.964
Bloomer & Parent (1953),0.0485,0.9515,129.6,3.578
Bloomer & Parent (1953),0.1577,0.8423,136.9,3.985
Bloomer & Parent (1953),0.303,0.697,146.9,4.482
Bloomer & Parent (1953),0.4912,0.5088,159.6,4.923
Bloomer & Parent (1953),0.7121,0.2879,174.2,5.068
Bloomer & Parent (1953),0.8998,0.1002,185.1,4.861
Bloomer & Parent (1953),0.9398,0.0602,187.2,4.816
Bloomer & Parent (1953),0.9705,0.0295,189,4.726
Bloomer & Parent (1953),0.9858,0.0142,189.8,4.654
